participant,eyes,recording,score
1,2,Single,8.75
1,2,Double,3.75
2,2,Single,8.5
2,2,Double,2.75
3,1,Single,10
3,1,Double,4.75
4,2,Single,9.5
4,2,Double,6
5,2,Single,10
5,2,Double,5
6,1,Single,8.5
6,1,Double,6.5
7,1,Single,9
7,1,Double,3.75
8,2,Single,8
8,2,Double,5
9,2,Single,10
9,2,Double,5.25
10,1,Single,8.5
10,1,Double,4.75
11,1,Single,9
11,1,Double,5.75
12,1,Single,9.5
12,1,Double,4.75
13,2,Single,10
13,2,Double,5.25
14,1,Single,9
14,1,Double,5.5
15,1,Single,8
15,1,Double,4
16,2,Single,9.5
16,2,Double,3.75